PRODUCT,SYMBOOL | ISIN,VALUTA,LAATST,+/-,+/- %,SLOT,LAAG,HOOG,LAATSTE,
KV,ACALB | FR0013166477,EUR,"% 98,00","+0,19","+0,19%","97,808","97,87","98,14",16:59:05,R
CASA2.80%21JUL2026D,,,,,,,,,,
KV,ACAKI | FR0012395689,EUR,"% 99,50","+0,16","+0,16%","99,333","99,46","99,50",16:06:20,R
CASA3%2FEB2025D,,,,,,,,,,
KV,ACAKG | FR0012304459,EUR,"% 99,55","0,00","0,00%","99,555","99,50","99,55",12:11:19,R
CASA3.00%22DEC2024D,,,,,,,,,,
KV,CFFBI | FR0010913749,EUR,% —,—,—%,"100,65",—,—,—,R
CFF4%24OCT25D,,,,,,,,,,
KV,CMNEB | FR0012616894,EUR,"% 94,09","-0,91","-0,95%","95,00","93,36","96,36",13:19:56,R
CMNE2.75%27APR27D,,,,,,,,,,
KV,CMNEA | FR0012304442,EUR,"% 98,00","0,00","0,00%","98,00","97,00","98,00",16:18:49,R
CMNE3.40%22DEC26D,,,,,,,,,,
KV,X0DU | DE000CZ40MB7,EUR,"% 92,50","-0,06","-0,06%","92,564","92,425","92,52",17:20:04,R
COBA MTH S.P18D,,,,,,,,,,
KV,DE000CZ40LD5,EUR,"% 100,10","-0,02","-0,02%","100,129","100,05","100,18",17:10:48,R
COBA T2 NACHRANG 16/26D,,,,,,,,,,
KV,CA5C | FR0013267473,EUR,"% 93,16","-0,06","-0,06%","93,224","93,08","93,17",17:00:06,R
CRE.AGR.PUB.SEC.SCF 17/27D,,,,,,,,,,
KV,PTVAIAOM0003,EUR,% —,—,—%,—,—,—,—,ED
"CUF 4,75% 11DEC29D",,,,,,,,,,
KV,D1PA | DE000A0DEN75,EUR,"% 82,30","-1,35","-1,62%","83,659","82,30","82,30",17:10:48,R
D.POSTBANK FDG TR.04/UND.D,,,,,,,,,,
KV,DLWB | DE000A2TSCP0,EUR,"% 1,60","+0,85","+113,33%","0,75","0,75","1,60",15:16:45,R
DEUT.LICHTM. EE-ANL.19/25D,,,,,,,,,,
KV,DPWB | XS0862952297,EUR,"% 99,70","+0,02","+0,02%","99,673","99,70","99,70",08:23:46,R
DEUTSCHE POST MTN.12/24B,,,,,,,,,,
KV,DR03 | DE000A2YN3Q8,EUR,"% 100,15","-0,35","-0,34%","100,50","100,15","100,15",17:10:48,R
DEUTSCHE ROHSTOFF 19/24D,,,,,,,,,,
KV,FR0000047821,EUR,% —,—,—%,"179,00",—,—,—,R
DIACTPFRN29OCT49D,,,,,,,,,,
KV,DE000A0D24Z1,EUR,% —,—,—%,"83,528",—,—,—,R
DPOSTB FT3 FRNPLC,,,,,,,,,,
KV,XS1309518998,EUR,"% 97,26","-0,26","-0,27%","97,524","97,26","97,26",10:12:57,R
DT. BAHN FIN. 15/25 MTNA,,,,,,,,,,
KV,ZUXR | DE000DB7XJJ2,EUR,"% 99,20","+0,03","+0,03%","99,169","99,20","99,20",15:21:43,R
DT.BANK MTN 15/25C,,,,,,,,,,
KV,ZUXS | DE000DL40SR8,EUR,"% 100,70","-0,50","-0,49%","101,201","100,155","100,70",17:00:07,R
DT.BANK MTN 16/26C,,,,,,,,,,
KV,DE000DL19T26,EUR,"% 94,075","-0,06","-0,06%","94,138","93,98","94,075",17:00:15,R
DT.BANK MTN 18/28B,,,,,,,,,,
KV,DB0A | DE000A2AAVM5,EUR,"% 97,00","0,00","0,00%","97,00","97,00","97,00",10:12:57,R
DT.BILDUNG STUD ANL16/26D,,,,,,,,,,
KV,DB0B | DE000A2E4PH3,EUR,"% 97,00","-3,00","-3,00%","100,00","97,00","97,00",08:07:42,R
DT.BILDUNG STUD ANL17/27D,,,,,,,,,,
KV,DE000A0B1K04,EUR,"% 97,543","+0,01","+0,01%","97,53","97,543","97,543",12:10:36,R
DT.PFBR.BANK 05/25 EOD,,,,,,,,,,
KV,PBBV | DE000A13SWG1,EUR,"% 79,46","+0,11","+0,13%","79,35","79,09","79,46",17:10:48,R
DT.PFBR.BANK MTN R25072D,,,,,,,,,,
KV,DE000A2DAST0,EUR,"% 92,50","-0,65","-0,69%","93,15","92,50","94,05",17:00:07,R
DT.PFBR.BANK MTN.35277D,,,,,,,,,,
KV,RWEB | XS0162513211,EUR,"% 114,42","-1,03","-0,89%","115,453","114,42","114,42",10:12:57,R
E.ON INTL FIN. MTN 03/33D,,,,,,,,,,
KV,EDFAQ | FR0010891317,EUR,% —,—,—%,"104,515",—,—,—,R
EDF4.625%26APR30D,,,,,,,,,,
KV,EF8G | EU000A1G0DE2,EUR,"% 97,20","-0,31","-0,32%","97,519","97,20","97,20",10:12:57,R
EFSF 15/25 MTNA,,,,,,,,,,
KV,XS0878008225,EUR,"% 96,36","+0,32","+0,33%","96,038","95,92","96,36",17:17:01,R
EIB EUR.INV.BK 13/35 MTNB,,,,,,,,,,
KV,XS1612977717,EUR,"% 85,32","-0,53","-0,62%","85,858","85,32","85,32",10:12:57,R
EIB EUR.INV.BK 17/33 MTNA,,,,,,,,,,
KV,XS0224480722,EUR,% —,—,—%,"81,90",—,—,—,R
EIB FRN17AUG30DD,,,,,,,,,,
KV,XS0229097547,EUR,% —,—,—%,"95,40",—,—,—,R
EIB FX/FL FRNOCT25D,,,,,,,,,,
KV,BEIAJ | XS0219724878,EUR,% —,—,—%,"109,375",—,—,—,R
EIB4%15OCT37B,,,,,,,,,,
KV,AT0000A19NR2,EUR,"% 100,40","+2,25","+2,29%","98,15","100,40","100,40",17:23:14,R
ERSTE GP BNK 14-25 MTND,,,,,,,,,,
KV,AT0000A1FW01,EUR,"% 98,45","0,00","0,00%","98,45","98,45","98,45",17:10:48,R
ERSTE GP BNK 15-25 FLRD,,,,,,,,,,
KV,AT0000A1U9K9,EUR,"% 95,40","+1,20","+1,27%","94,20","95,40","95,40",17:10:48,R
ERSTE GP BNK 17-27 FLRD,,,,,,,,,,
KV,AT0000A1QE42,EUR,"% 95,35","+0,25","+0,26%","95,10","95,35","95,35",17:10:48,R
ERSTE GP BNK 17-27 FLRD,,,,,,,,,,
KV,INGPG | XS2089974245,EUR,"% 101,45","+0,06","+0,05%","101,39","101,01","102,22",17:30:00,R
ESD3E STN1226GD,,,,,,,,,,
KV,ESMH | EU000A1U9894,EUR,"% 97,15","-0,23","-0,24%","97,389","97,15","97,15",10:12:58,R
ESM 15/25 MTNA,,,,,,,,,,
KV,EU000A1U9902,EUR,"% 77,42","-0,04","-0,06%","77,468","76,91","77,56",17:20:04,R
ESM 15/45 MTNA,,,,,,,,,,
KV,EU000A1U9936,EUR,"% 71,28","-0,46","-0,64%","71,741","71,28","71,28",10:12:57,R
ESM 15/55 MTNA,,,,,,,,,,
KV,EU000A1U9944,EUR,"% 95,75","-0,15","-0,16%","95,905","95,75","95,75",13:01:30,R
ESM 16/26 MTNA,,,,,,,,,,
KV,EU000A1U9969,EUR,"% 87,62","-0,03","-0,04%","87,656","87,38","87,67",17:20:04,R
ESM 16/32 MTNA,,,,,,,,,,
KV,EU000A1U9977,EUR,"% 66,85","-0,51","-0,76%","67,363","66,40","66,96",17:20:04,R
ESM 16/42 MTNA,,,,,,,,,,
KV,DIOKRE 9.5 10/01/26 | DE000A2NBY22,EUR,"% 51,00","-1,00","-1,92%","52,00","51,00","51,00",10:12:57,R
ESPG AG ANL 18/26D,,,,,,,,,,
KV,BCNSB | PTCON2OE0007,EUR,% —,—,—%,"79,06",—,—,—,R
ESTADO 3%PLD,,,,,,,,,,
KV,EU000A3KTGV8,EUR,"% 94,30","-0,01","-0,01%","94,315","94,25","94,30",17:00:06,R
EU 21/26 MTNF,,,,,,,,,,
